Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
7,ARIHANT.NS,876.35,1.26K,Finance,Real Estate Development,98.0,62.0,,,72.3357,70.0429,6.68K,14.20K,1100.0,39.65,9.52B,No,,,796.98,
15,EASTSILK.NS,50.0,8.78K,Process Industries,Textiles,98.0,3.0,1.0,1.0,1.9221,1.6393,2.96K,1.08K,99.25,1.8,250.00M,No,58.16,64.0,56.53,68.04
24,STLTECH.NS,597.65,947.42K,Technology Services,Information Technology Services,98.0,96.0,98.0,98.0,34.4929,25.8929,5890.06K,4598.09K,679.9,84.6,291.78B,No,404.61,195.22,439.9,238.39
25,BATLIBOI.NS,80.0,5.43K,Producer Manufacturing,Industrial Machinery,98.0,39.0,,,3.57,3.495,20.70K,24.09K,88.95,15.7,3.78B,No,,,73.06,
36,CUPID.NS,164.59,22310.12K,Consumer Non-Durables,Household/Personal Care,97.0,94.0,95.0,96.0,5.6636,5.2021,17376.66K,20711.47K,165.0,17.68,221.24B,No,122.39,81.84,129.99,98.69
37,AHLWEST.NS,534.05,0.20K,Consumer Services,Hotels/Resorts/Cruise Lines,97.0,26.0,98.0,98.0,27.8643,27.3,2.32K,0.86K,751.4,137.0,6.22B,No,448.9,220.34,484.5,258.62
41,SWANDEF.NS,2021.9,2.79K,Producer Manufacturing,Trucks/Construction/Farm Machinery,97.0,64.0,20.0,94.0,86.9071,83.1286,24.74K,21.48K,2489.0,188.06,106.52B,No,1906.91,1418.7,1926.28,1761.23
43,MTARTECH.NS,7737.5,1853.73K,Electronic Technology,Aerospace & Defense,97.0,52.0,97.0,97.0,553.7857,505.2143,1401.39K,2186.78K,8449.5,1390.5,237.77B,No,6411.41,3555.87,6847.41,4329.25
47,SIGMAADV.NS,449.0,142.51K,Technology Services,Information Technology Services,97.0,97.0,98.0,96.0,27.4464,25.1607,418.94K,515.29K,503.9,81.61,79.13B,No,317.32,210.01,350.91,236.63
49,SANGINITA.NS,36.23,19.73K,Process Industries,Chemicals: Specialty,97.0,97.0,98.0,98.0,0.5836,0.0057,201.11K,112.93K,36.23,9.09,938.41M,No,25.55,15.07,27.0,17.76
50,BHAGYANGR.NS,342.4,133.79K,Producer Manufacturing,Electrical Products,97.0,65.0,97.0,97.0,17.5821,15.7964,320.66K,150.38K,351.9,70.21,10.96B,No,272.11,169.83,285.68,197.58
55,VENUSREM.NS,1851.4,61.25K,Health Technology,Pharmaceuticals: Major,97.0,98.0,97.0,97.0,92.9714,75.35,88.79K,233.13K,1943.8,416.0,24.78B,No,1160.9,776.17,1254.65,942.76
61,GVPIL.NS,1024.8,368.98K,Industrial Services,Engineering & Construction,97.0,96.0,97.0,97.0,48.2607,41.7786,288.73K,548.85K,1024.8,270.9,68.89B,No,683.84,437.29,741.32,498.63
65,DEEDEV.NS,723.95,159.66K,Producer Manufacturing,Industrial Machinery,97.0,97.0,97.0,98.0,37.0643,31.8072,929.46K,264.94K,723.95,183.0,50.14B,No,497.95,308.71,535.9,338.76
66,RAJPALAYAM.NS,839.55,1.23K,Process Industries,Textiles,97.0,68.0,,,30.95,29.9036,1.88K,3.15K,875.0,314.45,,No,,,765.6,
67,BLISSGVS.NS,437.2,309.01K,Health Technology,Pharmaceuticals: Major,97.0,97.0,96.0,97.0,23.1679,23.15,2511.15K,1501.92K,462.8,118.0,46.41B,No,320.7,210.49,339.18,241.23
69,UFBL.NS,602.65,164.45K,Consumer Services,Restaurants,96.0,98.0,98.0,97.0,37.0107,35.2036,407.47K,324.01K,626.9,172.34,23.51B,No,398.65,263.11,438.3,288.84
72,HFCL.NS,182.98,21374.08K,Electronic Technology,Telecommunications Equipment,96.0,90.0,98.0,97.0,10.38,8.5214,55783.73K,40899.32K,208.98,59.82,279.92B,No,137.83,87.51,147.47,95.22
76,KSHINTL.NS,894.0,392.01K,Producer Manufacturing,Electrical Products,96.0,95.0,97.0,,53.3464,49.6893,540.11K,534.96K,903.0,330.0,60.60B,No,679.62,,718.77,
77,CPPLUS.NS,3384.0,103.15K,Consumer Durables,Electronics/Appliances,96.0,94.0,97.0,96.0,192.4428,168.7357,431.41K,455.19K,3714.4,1015.0,398.81B,No,2592.21,1768.49,2741.3,1964.21
79,AEROFLEX.NS,467.3,1567.02K,Producer Manufacturing,Industrial Machinery,96.0,93.0,97.0,97.0,29.9964,28.5179,3218.99K,2474.18K,491.9,158.0,61.84B,No,360.13,234.03,383.93,265.59
82,BAJAJCON.NS,597.0,303.61K,Consumer Non-Durables,Household/Personal Care,96.0,84.0,93.0,96.0,24.5893,24.0071,1425.53K,810.61K,620.85,168.25,78.03B,No,510.08,346.89,531.78,394.32
86,OMNI.NS,481.55,115.11K,Producer Manufacturing,Metal Fabrication,96.0,84.0,98.0,,35.9964,34.7964,998.62K,531.95K,548.0,176.25,59.55B,No,417.87,,436.86,
88,OMAXAUTO.NS,229.0,20.48K,Producer Manufacturing,Auto Parts: Oem,96.0,67.0,97.0,97.0,11.8536,10.9386,212.44K,63.65K,263.4,84.05,4.91B,No,184.14,129.92,195.29,132.99
89,KOVAI.NS,5803.5,0.87K,Health Services,Hospital/Nursing Management,96.0,75.0,,,149.5357,145.8929,3.98K,4.82K,6052.6,2576.65,63.50B,No,,,5278.34,
92,SICAGEN.NS,54.49,6.03K,Distribution Services,Wholesale Distributors,96.0,47.0,,,2.98,2.9514,16.97K,9.94K,61.5,24.35,2.16B,No,,,51.21,
104,ATLANTAELE.NS,1885.0,28.26K,Producer Manufacturing,Electrical Products,95.0,65.0,96.0,96.0,109.4072,102.5572,228.10K,71.49K,2152.6,707.6,144.95B,No,1680.79,,1771.78,1224.55
