Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
1,GDLLEAS.BO,107.3,0.01K,Finance,Finance/Rental/Leasing,99.0,2.0,85.0,,4.79K,5.01K,169.8,9.62,537.58M,No
2,EASTINDIA.BO,113.17,1.29K,Process Industries,Containers/Packaging,98.0,89.0,78.0,98.0,3.23K,2.53K,148.0,20.2,1.67B,No
3,SESHACHAL.BO,87.45,1.27K,Technology Services,Information Technology Services,98.0,91.0,,,1.41K,2.10K,87.45,15.0,607.22M,No
4,SIMANDHAR.BO,123.1,4.22K,Distribution Services,Wholesale Distributors,98.0,97.0,,,12.20K,4.56K,138.75,21.5,376.31M,No
5,MAGNUS.BO,60.72,4.03K,Commercial Services,Miscellaneous Commercial Services,98.0,97.0,98.0,98.0,3.52K,4.00K,60.72,8.26,205.25M,No
6,BIZOTIC.BO,990.0,1.20K,Consumer Non-Durables,Apparel/Footwear,98.0,56.0,85.0,98.0,7.47K,4.52K,1053.0,73.4,7.96B,No
7,JAUSPOL.BO,37.11,25.09K,Process Industries,Containers/Packaging,98.0,98.0,98.0,98.0,10.44K,25.26K,37.11,5.8,171.66M,No
8,ISTRNETWK.BO,37.64,49.37K,Commercial Services,Miscellaneous Commercial Services,98.0,3.0,42.0,96.0,86.30K,32.69K,72.15,4.47,2.50B,No
9,SPICEISLIN.BO,253.25,0.19K,Process Industries,Textiles,98.0,92.0,98.0,98.0,20.77K,15.10K,313.15,32.3,1.58B,No
10,RSTL.BO,250.0,31.50K,Non-Energy Minerals,Steel,98.0,92.0,98.0,98.0,9.87K,5.62K,276.1,50.03,3.11B,No
11,TELECANOR.BO,46.84,127.68K,Technology Services,Packaged Software,98.0,97.0,98.0,98.0,97.18K,89.99K,48.44,5.37,533.55M,No
12,AMITSEC.BO,51.82,2.52K,Commercial Services,Miscellaneous Commercial Services,98.0,14.0,82.0,94.0,2.17K,1.67K,67.16,7.28,367.92M,No
13,AUTOINT.BO,410.6,1.86K,Finance,Finance/Rental/Leasing,98.0,2.0,0.0,97.0,2.33K,1.66K,1031.0,38.72,1.43B,No
14,SYNTHFO.BO,1736.4,0.67K,Producer Manufacturing,Metal Fabrication,98.0,44.0,74.0,98.0,1.50K,1.24K,2400.0,214.2,25.14B,No
15,SRICC.BO,44.99,5.33K,Non-Energy Minerals,Construction Materials,98.0,2.0,5.0,3.0,2.80K,2.30K,99.29,12.06,404.91M,No
16,PANKAJPO.BO,59.0,6.18K,Producer Manufacturing,Miscellaneous Manufacturing,98.0,10.0,98.0,98.0,20.32K,6.92K,75.97,12.84,327.09M,No
17,IBINFO.BO,612.25,0.39K,Consumer Non-Durables,Food: Major Diversified,98.0,97.0,98.0,98.0,4.27K,19.38K,612.25,140.0,784.12M,No
19,TRANSCHEM.BO,181.05,4.44K,Health Technology,Pharmaceuticals: Other,98.0,75.0,98.0,98.0,19.67K,7.49K,194.25,31.1,2.22B,No
20,APIS.BO,56.97,35.20K,Consumer Non-Durables,Food: Major Diversified,98.0,4.0,94.0,98.0,88.38K,45.30K,110.42,10.68,7.85B,No
21,GHVINFRA.BO,347.25,30.07K,Technology Services,Data Processing Services,98.0,97.0,88.0,83.0,12.29K,38.75K,368.5,39.22,25.03B,No
23,SANCODE.BO,219.05,4.50K,Technology Services,Information Technology Services,98.0,98.0,97.0,98.0,8.47K,4.50K,219.05,31.6,891.29M,No
24,SHANTAI.BO,38.25,0.30K,Process Industries,Textiles,98.0,98.0,98.0,98.0,4.71K,1.23K,38.25,9.5,286.88M,No
25,PHCAP.BO,583.05,1.03K,Finance,Investment Banks/Brokers,98.0,83.0,98.0,98.0,10.27K,4.25K,610.75,148.6,1.75B,No
