Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
1,MODMA.BO,61.68,2.30K,Producer Manufacturing,Metal Fabrication,98.0,2.0,98.0,98.0,2.2407,1.7786,3.68K,1.42K,85.79,1.1,7.19B,No,68.69,24.78,69.1,33.85
2,APOLLOIN.BO,102.37,0.10K,Process Industries,Agricultural Commodities/Milling,98.0,97.0,98.0,98.0,1.775,0.27,6.12K,7.64K,102.37,5.16,1.06B,No,68.08,25.95,70.19,34.5
3,MRUTR.BO,64.93,0.51K,Finance,Investment Banks/Brokers,98.0,97.0,98.0,98.0,1.0543,0.0279,3.05K,17.19K,64.93,0.46,46.91B,No,42.72,16.89,44.29,23.25
4,SAMTELIN.BO,57.46,16.80K,Producer Manufacturing,Miscellaneous Manufacturing,98.0,72.0,98.0,98.0,1.505,0.92,7.06K,10.06K,62.4,1.89,407.27M,No,48.52,18.95,49.46,26.18
5,SALSAIN.BO,260.25,0.40K,Finance,Financial Conglomerates,98.0,54.0,0.0,98.0,9.6071,7.9821,1.15K,0.69K,828.95,14.58,1.81B,No,260.86,208.51,253.95,294.12
6,TANDHANIN.BO,154.6,0.73K,Finance,Investment Banks/Brokers,98.0,88.0,98.0,98.0,3.7893,2.6429,1.74K,7.81K,154.85,10.48,7.69B,No,119.6,48.93,123.16,64.76
7,SELECTRIC.BO,2130.3,88.87K,Electronic Technology,Electronic Production Equipment,98.0,99.0,,,88.5793,24.3714,21.64K,59.98K,2130.3,155.1,25.77B,No,,,,
8,JTLDEFENCE.BO,615.9,2.19K,Non-Energy Minerals,Other Metals/Minerals,98.0,98.0,99.0,98.0,15.6821,3.4714,2.96K,3.63K,615.9,55.58,6.48B,No,390.88,147.49,412.0,187.07
10,LIPPISYS.BO,221.45,8.27K,Producer Manufacturing,Industrial Machinery,98.0,98.0,98.0,98.0,12.7564,9.5736,39.47K,31.72K,235.0,19.9,1.55B,No,129.43,57.52,136.39,70.92
11,PARMSILK.BO,449.9,3.17K,Process Industries,Textiles,98.0,98.0,98.0,98.0,15.075,1.4214,0.41K,2.35K,449.9,31.19,1.35B,No,198.51,112.09,213.04,132.51
12,ISERA.BO,143.9,0.50K,Technology Services,Packaged Software,98.0,97.0,97.0,98.0,2.0836,0.1986,3.04K,4.13K,143.9,1.57,1.21B,No,98.52,44.17,102.34,60.8
13,SESHACHAL.BO,62.57,0.63K,Technology Services,Information Technology Services,98.0,0.0,1.0,76.0,2.1364,0.0,0.36K,0.56K,105.31,2.39,43.45M,No,91.83,66.81,90.85,85.15
