Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
1,ISTRNETWK.BO,45.13,79.40K,Commercial Services,Miscellaneous Commercial Services,99.0,89.0,98.0,98.0,156.52K,140.38K,72.15,3.87,3.00B,No
2,AIRLTD.BO,672.4,0.10K,Consumer Durables,Homebuilding,98.0,38.0,97.0,98.0,0.35K,0.00K,713.95,57.81,15.06B,No
3,AUTOINT.BO,586.65,6.45K,Finance,Finance/Rental/Leasing,98.0,0.0,97.0,98.0,1.46K,0.48K,1031.0,31.87,2.04B,No
4,VAGHANI.BO,166.4,12.05K,Consumer Durables,Homebuilding,98.0,98.0,98.0,98.0,18.34K,29.88K,166.45,19.92,2.63B,No
5,BPAGRI.BO,89.28,9.02K,Process Industries,Industrial Specialties,98.0,14.0,85.0,96.0,13.59K,11.17K,114.61,12.91,53.80B,No
6,SERIND.BO,793.05,4.23K,Transportation,Air Freight/Couriers,98.0,98.0,98.0,98.0,0.78K,1.56K,793.05,88.87,784.79M,No
7,CIL.BO,289.15,2.10K,Commercial Services,Advertising/Marketing Services,98.0,96.0,98.0,98.0,2.99K,4.93K,307.0,22.86,1.56B,No
8,GHVINFRA.BO,309.65,16.04K,Technology Services,Data Processing Services,98.0,53.0,62.0,94.0,18.34K,7.84K,362.4,16.15,22.32B,No
9,EASTINDIA.BO,87.75,10.30K,Process Industries,Containers/Packaging,98.0,5.0,98.0,,4.29K,2.71K,148.0,11.28,1.30B,No
10,BIZOTIC.BO,898.55,40.40K,Consumer Non-Durables,Apparel/Footwear,98.0,84.0,97.0,98.0,14.22K,6.88K,1049.0,70.06,7.22B,No
11,TRADWIN.BO,315.65,0.01K,Consumer Services,Other Consumer Services,98.0,98.0,,,0.01K,0.02K,315.65,56.44,946.95M,No
12,FILTRON.BO,81.51,0.71K,Producer Manufacturing,Industrial Machinery,98.0,98.0,98.0,,0.28K,0.57K,81.51,11.63,213.27M,No
13,CHPLIND.BO,103.27,10.24K,Consumer Durables,Home Furnishings,98.0,97.0,98.0,,3.94K,14.52K,108.05,15.16,314.62M,No
14,SYNTHFO.BO,1714.0,0.68K,Producer Manufacturing,Metal Fabrication,98.0,84.0,98.0,98.0,1.54K,1.07K,1750.25,184.32,1.49B,No
15,SRICC.BO,53.83,3.01K,Non-Energy Minerals,Construction Materials,98.0,1.0,9.0,93.0,7.83K,2.68K,99.29,3.3,484.47M,No
16,CHECKPOINT.BO,104.86,10.56K,Distribution Services,Medical Distributors,98.0,93.0,98.0,98.0,19.42K,35.88K,113.97,9.41,573.41M,No
17,INLCM.BO,1848.0,4.18K,Distribution Services,Wholesale Distributors,98.0,1.0,88.0,97.0,7.04K,2.27K,2640.75,156.75,4.94B,No
19,SALSAIN.BO,62.68,0.01K,Finance,Financial Conglomerates,98.0,98.0,98.0,98.0,0.00K,0.00K,62.68,13.89,437.00M,No
20,APIS.BO,61.6,275.44K,Consumer Non-Durables,Food: Major Diversified,98.0,97.0,98.0,98.0,0.00K,0.00K,61.6,10.68,8.49B,No
21,RRFIN.BO,124.85,14.87K,Finance,Insurance Brokers/Services,98.0,0.0,96.0,98.0,15.83K,23.90K,263.7,11.8,1.38B,No
22,ELITECON.BO,108.55,77.82K,Process Industries,Textiles,98.0,79.0,1.0,96.0,533.90K,732.74K,422.65,9.21,173.52B,No
24,GENESIS.BO,93.7,0.56K,Producer Manufacturing,Miscellaneous Manufacturing,98.0,0.0,96.0,98.0,0.33K,0.32K,181.3,17.47,1.22B,No
25,INDOKEM.BO,750.55,6.15K,Process Industries,Industrial Specialties,98.0,40.0,95.0,97.0,15.97K,12.06K,930.0,96.6,20.93B,No
26,MAXGROW.BO,42.95,1.10K,Commercial Services,Personnel Services,98.0,98.0,,,0.85K,1.14K,42.95,12.15,1.72B,No
27,MAGNUS.BO,31.67,0.20K,Commercial Services,Miscellaneous Commercial Services,98.0,98.0,98.0,98.0,2.38K,5.71K,31.67,7.5,198.83M,No
28,AMITSEC.BO,36.87,1.57K,Commercial Services,Miscellaneous Commercial Services,98.0,1.0,32.0,,2.12K,3.37K,67.16,7.28,261.78M,No
29,AXISOL.BO,86.43,0.12K,Technology Services,Information Technology Services,98.0,98.0,,,0.31K,0.22K,86.43,24.38,4.08B,No
30,TRANSCHEM.BO,165.01,74.78K,Health Technology,Pharmaceuticals: Other,98.0,98.0,98.0,98.0,15.06K,26.36K,173.62,31.1,2.02B,No
31,SPICELOUNG.BO,47.84,78.25K,Retail Trade,Discount Stores,98.0,0.0,90.0,94.0,143.40K,157.31K,72.2,7.69,33.35B,No
32,SHUKRAPHAR.BO,56.11,53.59K,Health Technology,Pharmaceuticals: Major,98.0,97.0,97.0,98.0,304.47K,507.37K,65.26,10.66,24.57B,No
33,RRECL.BO,148.7,2.24K,Finance,Real Estate Development,97.0,33.0,6.0,39.0,4.06K,1.61K,335.95,12.9,2.57B,No
34,RSTL.BO,246.0,13.50K,Non-Energy Minerals,Steel,97.0,98.0,98.0,95.0,8.86K,6.15K,263.0,75.05,2.04B,No
35,EMAINDIA.BO,433.6,0.98K,Producer Manufacturing,Industrial Machinery,97.0,97.0,98.0,97.0,3.14K,8.31K,433.6,86.5,435.77M,No
36,SAFFRON.BO,36.0,22.34K,Finance,Real Estate Development,97.0,0.0,93.0,97.0,21.64K,27.05K,104.13,5.76,258.67M,No
37,VRWODAR.BO,52.74,2.12K,Non-Energy Minerals,Forest Products,97.0,12.0,89.0,94.0,2.77K,2.36K,69.65,5.01,785.39M,No
38,REGAL.BO,41.17,2.39K,Finance,Investment Banks/Brokers,97.0,,,,2.02K,2.81K,41.17,13.55,126.48M,No
39,RSCINT.BO,61.85,0.07K,Process Industries,Chemicals: Specialty,97.0,71.0,95.0,77.0,1.42K,0.29K,65.85,16.63,355.62M,No
40,OSIAJEE.BO,402.7,12.31K,Process Industries,Textiles,97.0,77.0,96.0,93.0,32.79K,21.24K,428.0,48.86,2.17B,No
42,SKPMIL.BO,133.84,2.87K,Process Industries,Pulp & Paper,97.0,98.0,98.0,97.0,3.77K,4.79K,133.84,29.7,1.81B,No
