Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
1,MSCTC.BO,82.92,1.39K,Non-Energy Minerals,Steel,99.0,0.0,92.0,98.0,0.34K,0.20K,123.4,9.19,5.62B,No
2,VINRKLB.BO,41.47,22.97K,Health Technology,Pharmaceuticals: Major,98.0,97.0,,,6.26K,7.72K,41.47,6.75,249.98M,No
3,TRADWIN.BO,507.15,0.44K,Consumer Services,Other Consumer Services,98.0,1.0,72.0,,0.10K,0.06K,846.45,56.44,1.52B,No
4,UPROTECH.BO,36.6,7.20K,Technology Services,Information Technology Services,98.0,97.0,98.0,,0.97K,3.93K,36.62,5.37,222.71M,No
5,SURBHIN.BO,80.87,0.01K,Process Industries,Textiles,98.0,98.0,98.0,98.0,0.03K,0.02K,80.87,9.1,277.98M,No
6,ZSANMCOM.BO,62.81,0.20K,Finance,Investment Banks/Brokers,98.0,97.0,98.0,98.0,0.05K,0.06K,62.81,10.48,3.13B,No
7,BELDING.BO,1423.15,0.44K,Producer Manufacturing,Metal Fabrication,98.0,97.0,98.0,98.0,0.48K,0.50K,1847.05,278.0,20.61B,No
8,SWADEIN.BO,112.66,2.12K,Process Industries,Textiles,98.0,35.0,5.0,95.0,14.29K,7.23K,164.0,8.68,1.22B,No
9,EASTINDIA.BO,108.23,9.61K,Process Industries,Containers/Packaging,98.0,27.0,49.0,97.0,3.61K,3.05K,148.0,38.02,1.60B,No
10,SIMANDHAR.BO,123.5,0.04K,Distribution Services,Wholesale Distributors,98.0,12.0,98.0,,13.87K,6.38K,139.0,21.5,377.53M,No
11,MIDWEST.BO,4620.7,7.64K,Non-Energy Minerals,Precious Metals,98.0,69.0,69.0,96.0,5.73K,3.83K,5900.0,380.6,59.94B,No
12,OMEGAIN.BO,83.63,352.85K,Technology Services,Information Technology Services,98.0,97.0,97.0,98.0,46.78K,116.00K,83.63,6.79,2.38B,No
